fecha,linea,cantidad
9 June 2014,PRODUCTO A,184.00
10 June 2014,PRODUCTO A,208.00
11 June 2014,PRODUCTO A,144.00
12 June 2014,PRODUCTO A,93.00
13 June 2014,PRODUCTO A,135.00
14 June 2014,PRODUCTO A,84.00
15 June 2014,PRODUCTO A,24.00
16 June 2014,PRODUCTO A,36.00
17 June 2014,PRODUCTO A,191.00
18 June 2014,PRODUCTO A,172.00
19 June 2014,PRODUCTO A,163.00
20 June 2014,PRODUCTO A,136.00
21 June 2014,PRODUCTO A,83.00
22 June 2014,PRODUCTO A,29.00
23 June 2014,PRODUCTO A,157.00
24 June 2014,PRODUCTO A,114.00
25 June 2014,PRODUCTO A,109.00
26 June 2014,PRODUCTO A,122.00
27 June 2014,PRODUCTO A,170.00
28 June 2014,PRODUCTO A,67.00
29 June 2014,PRODUCTO A,44.00
30 June 2014,PRODUCTO A,152.00
1 July 2014,PRODUCTO A,195.00
2 July 2014,PRODUCTO A,192.00
3 July 2014,PRODUCTO A,165.00
4 July 2014,PRODUCTO A,107.00
5 July 2014,PRODUCTO A,87.00
6 July 2014,PRODUCTO A,29.00
7 July 2014,PRODUCTO A,219.00
8 July 2014,PRODUCTO A,161.00
9 July 2014,PRODUCTO A,161.00
10 July 2014,PRODUCTO A,151.00
11 July 2014,PRODUCTO A,93.00
12 July 2014,PRODUCTO A,64.00
13 July 2014,PRODUCTO A,25.00
14 July 2014,PRODUCTO A,143.00
15 July 2014,PRODUCTO A,190.00
16 July 2014,PRODUCTO A,107.00
17 July 2014,PRODUCTO A,107.00
18 July 2014,PRODUCTO A,94.00
19 July 2014,PRODUCTO A,99.00
20 July 2014,PRODUCTO A,57.00
21 July 2014,PRODUCTO A,162.00
22 July 2014,PRODUCTO A,163.00
23 July 2014,PRODUCTO A,129.00
24 July 2014,PRODUCTO A,167.00
25 July 2014,PRODUCTO A,97.00
26 July 2014,PRODUCTO A,92.00
27 July 2014,PRODUCTO A,38.00
28 July 2014,PRODUCTO A,157.00
29 July 2014,PRODUCTO A,175.00
30 July 2014,PRODUCTO A,144.00
31 July 2014,PRODUCTO A,131.00
1 August 2014,PRODUCTO A,97.00
2 August 2014,PRODUCTO A,62.00
3 August 2014,PRODUCTO A,32.00
4 August 2014,PRODUCTO A,133.00
5 August 2014,PRODUCTO A,136.00
6 August 2014,PRODUCTO A,100.00
7 August 2014,PRODUCTO A,142.00
8 August 2014,PRODUCTO A,103.00
9 August 2014,PRODUCTO A,44.00
10 August 2014,PRODUCTO A,31.00
11 August 2014,PRODUCTO A,96.00
12 August 2014,PRODUCTO A,156.00
13 August 2014,PRODUCTO A,144.00
14 August 2014,PRODUCTO A,250.00
15 August 2014,PRODUCTO A,58.00
16 August 2014,PRODUCTO A,57.00
17 August 2014,PRODUCTO A,18.00
18 August 2014,PRODUCTO A,123.00
19 August 2014,PRODUCTO A,143.00
20 August 2014,PRODUCTO A,114.00
21 August 2014,PRODUCTO A,117.00
22 August 2014,PRODUCTO A,155.00
23 August 2014,PRODUCTO A,70.00
24 August 2014,PRODUCTO A,36.00
25 August 2014,PRODUCTO A,188.00
26 August 2014,PRODUCTO A,161.00
27 August 2014,PRODUCTO A,211.00
28 August 2014,PRODUCTO A,163.00
29 August 2014,PRODUCTO A,233.00
30 August 2014,PRODUCTO A,38.00
31 August 2014,PRODUCTO A,43.00
1 September 2014,PRODUCTO A,124.00
2 September 2014,PRODUCTO A,113.00
3 September 2014,PRODUCTO A,72.00
4 September 2014,PRODUCTO A,64.00
5 September 2014,PRODUCTO A,134.00
6 September 2014,PRODUCTO A,51.00
7 September 2014,PRODUCTO A,33.00
8 September 2014,PRODUCTO A,125.00
9 September 2014,PRODUCTO A,169.00
10 September 2014,PRODUCTO A,100.00
11 September 2014,PRODUCTO A,106.00
12 September 2014,PRODUCTO A,81.00
13 September 2014,PRODUCTO A,26.00
14 September 2014,PRODUCTO A,13.00
15 September 2014,PRODUCTO A,135.00
16 September 2014,PRODUCTO A,258.00
17 September 2014,PRODUCTO A,74.00
18 September 2014,PRODUCTO A,64.00
19 September 2014,PRODUCTO A,96.00
20 September 2014,PRODUCTO A,31.00
21 September 2014,PRODUCTO A,26.00
22 September 2014,PRODUCTO A,80.00
23 September 2014,PRODUCTO A,99.00
24 September 2014,PRODUCTO A,71.00
25 September 2014,PRODUCTO A,63.00
26 September 2014,PRODUCTO A,79.00
27 September 2014,PRODUCTO A,27.00
28 September 2014,PRODUCTO A,20.00
29 September 2014,PRODUCTO A,41.00
30 September 2014,PRODUCTO A,71.00
1 October 2014,PRODUCTO A,82.00
2 October 2014,PRODUCTO A,49.00
3 October 2014,PRODUCTO A,71.00
4 October 2014,PRODUCTO A,32.00
5 October 2014,PRODUCTO A,21.00
6 October 2014,PRODUCTO A,51.00
7 October 2014,PRODUCTO A,32.00
8 October 2014,PRODUCTO A,78.00
9 October 2014,PRODUCTO A,64.00
10 October 2014,PRODUCTO A,70.00
11 October 2014,PRODUCTO A,24.00
12 October 2014,PRODUCTO A,7.00
13 October 2014,PRODUCTO A,46.00
14 October 2014,PRODUCTO A,45.00
15 October 2014,PRODUCTO A,75.00
16 October 2014,PRODUCTO A,55.00
17 October 2014,PRODUCTO A,26.00
