Date;Year;Month;Day;Weekday;Holiday
19/4/19;2019;4;19;Friday;Viernes Santo (Semana Santa)
21/4/19;2019;4;21;Sunday;Domingo de Resurreccion (Semana Santa)
1/5/19;2019;5;1;Wednesday;Dia de los Trabajadores
15/5/19;2019;5;15;Wednesday;Dia de la Independencia Nacional
12/6/19;2019;6;12;Wednesday;Dia de la Paz del Chaco
15/8/19;2019;8;15;Thursday;Dia de la Fundacion de Asuncion
29/9/19;2019;9;29;Sunday;Batalla de Boqueron
8/12/19;2019;12;8;Sunday;Dia de la Virgen de Caacupe
25/12/19;2019;12;25;Wednesday;Navidad
1/1/20;2020;1;1;Wednesday;Anho Nuevo
1/3/20;2020;3;1;Sunday;Dia de los Heroes de la Patria
9/4/20;2020;4;9;Thursday;Jueves Santo (Semana Santa)
10/4/20;2020;4;10;Friday;Viernes Santo (Semana Santa)
12/4/20;2020;4;12;Sunday;Domingo de Resurreccion (Semana Santa)
1/5/20;2020;5;1;Friday;Dia de los Trabajadores
15/5/20;2020;5;15;Friday;Dia de la Independencia Nacional
12/6/20;2020;6;12;Friday;Dia de la Paz del Chaco
15/8/20;2020;8;15;Saturday;Dia de la Fundacion de Asuncion
29/9/20;2020;9;29;Tuesday;Batalla de Boqueron
8/12/20;2020;12;8;Tuesday;Dia de la Virgen de Caacupe
25/12/20;2020;12;25;Friday;Navidad
1/1/21;2021;1;1;Friday;Anho Nuevo
1/3/21;2021;3;1;Monday;Dia de los Heroes de la Patria
1/4/21;2021;4;1;Thursday;Jueves Santo (Semana Santa)
2/4/21;2021;4;2;Friday;Viernes Santo (Semana Santa)
4/4/21;2021;4;4;Sunday;Domingo de Resurreccion (Semana Santa)
1/5/21;2021;5;1;Saturday;Dia de los Trabajadores
15/5/21;2021;5;15;Saturday;Dia de la Independencia Nacional
12/6/21;2021;6;12;Saturday;Dia de la Paz del Chaco
15/8/21;2021;8;15;Sunday;Dia de la Fundacion de Asuncion
29/9/21;2021;9;29;Wednesday;Batalla de Boqueron
8/12/21;2021;12;8;Wednesday;Dia de la Virgen de Caacupe
25/12/21;2021;12;25;Saturday;Navidad
1/1/22;2022;1;1;Saturday;Anho Nuevo
1/3/22;2022;3;1;Tuesday;Dia de los Heroes de la Patria
14/4/22;2022;4;14;Thursday;Jueves Santo (Semana Santa)
15/4/22;2022;4;15;Friday;Viernes Santo (Semana Santa)
17/4/22;2022;4;17;Sunday;Domingo de Resurreccion (Semana Santa)
1/5/22;2022;5;1;Sunday;Dia de los Trabajadores
15/5/22;2022;5;15;Sunday;Dia de la Independencia Nacional
12/6/22;2022;6;12;Sunday;Dia de la Paz del Chaco
15/8/22;2022;8;15;Monday;Dia de la Fundacion de Asuncion
29/9/22;2022;9;29;Thursday;Batalla de Boqueron
8/12/22;2022;12;8;Thursday;Dia de la Virgen de Caacupe
25/12/22;2022;12;25;Sunday;Navidad
